"2.- Resúmenes comparativos por CCAA";;;;;;;;;;;;;;;;;;;;
"    Encuesta de Población Activa. Principales Resultados";;;;;;;;;;;;;;;;;;;;
"Ocupados por comunidad autónoma y sector económico (4).";;;;;;;;;;;;;;;;;;;;
"Unidades:miles de personas";;;;;;;;;;;;;;;;;;;;
;Total;Andalucía;Aragón;"Asturias (Principado de)";"Balears (Illes)";Canarias;Cantabria;"Castilla y León";"Castilla - La Mancha";Cataluña;"Comunidad Valenciana";Extremadura;Galicia;"Madrid (Comunidad de)";"Murcia (Región de)";"Navarra (Comunidad Foral de)";"País Vasco";"Rioja (La)";"Ceuta y Melilla";
"   1991TI";13025.4;1926.3;434.3;363.7;251.5;456.3;169.0;855.3;542.9;2261.6;1314.6;311.3;1039.2;1738.6;329.2;182.3;728.1;89.4;31.9;
"   1991TII";13067.6;1927.3;433.5;360.4;266.8;459.5;169.9;865.3;533.7;2289.1;1311.3;317.4;1030.4;1742.7;329.4;188.4;721.2;90.3;31.2;
"   1991TIII";13120.2;1871.1;431.8;362.3;272.1;468.8;167.6;875.4;553.7;2311.0;1311.1;330.6;1037.1;1758.4;325.8;190.2;731.3;90.9;31.0;
"   1991TIV";13015.1;1874.2;429.3;355.2;257.0;470.8;164.0;851.5;556.7;2289.0;1332.1;318.2;1025.3;1728.7;321.6;188.8;731.2;91.0;30.4;
"   1992TI";12909.4;1888.5;426.3;352.2;252.3;458.4;167.8;832.7;540.0;2278.4;1308.2;306.6;999.8;1754.9;318.0;184.6;718.9;90.2;31.5;
"   1992TII";12893.3;1890.3;427.4;352.9;245.9;458.6;169.2;844.3;536.8;2268.9;1281.9;306.1;988.8;1757.4;325.9;189.0;728.6;88.7;32.5;
"   1992TIII";12869.8;1851.5;431.3;354.1;251.1;452.3;173.0;847.6;539.9;2280.7;1267.0;322.1;993.7;1745.4;322.6;190.8;726.5;85.5;34.7;
"   1992TIV";12616.8;1790.6;423.4;348.4;239.6;442.3;170.7;830.0;537.6;2206.5;1286.7;316.8;979.9;1718.3;318.3;183.0;703.1;86.4;35.4;
"   1993TI";12327.0;1759.7;413.3;340.9;229.2;424.7;167.2;813.0;518.3;2169.8;1248.2;298.4;955.4;1682.2;312.2;175.2;697.7;86.5;35.1;
"   1993TII";12323.6;1762.8;411.9;341.2;241.1;430.3;166.8;815.9;516.7;2156.0;1217.5;302.2;968.2;1677.2;315.6;181.2;699.0;86.0;34.0;
"   1993TIII";12321.3;1731.8;412.8;338.8;251.9;436.8;168.6;825.0;525.9;2144.7;1212.7;305.9;978.3;1670.8;315.4;182.6;699.2;85.1;34.9;
"   1993TIV";12203.3;1734.3;410.5;330.6;238.1;450.2;161.9;814.0;513.1;2120.1;1226.1;295.7;963.0;1650.0;307.2;180.8;690.4;83.2;34.1;
"   1994TI";12088.5;1752.5;400.1;327.8;237.6;462.6;153.5;790.1;508.1;2100.6;1214.1;287.4;938.8;1625.6;309.0;179.4;687.1;81.6;32.6;
"   1994TII";12186.1;1756.3;404.4;329.4;252.6;457.8;156.8;795.6;505.7;2122.9;1220.2;285.6;944.5;1653.4;317.4;180.8;687.9;81.9;33.0;
"   1994TIII";12277.9;1736.0;413.2;331.8;267.6;464.0;159.9;798.3;519.0;2150.9;1228.8;291.8;942.3;1664.6;314.1;182.2;694.0;84.4;35.1;
"   1994TIV";12278.0;1746.2;409.6;328.4;253.7;482.1;162.9;783.5;511.5;2127.4;1246.5;278.6;940.0;1682.1;322.9;183.5;700.0;85.7;33.5;
"   1995TI";12359.6;1802.5;413.3;320.4;253.5;485.8;162.3;777.6;498.3;2167.8;1257.2;278.4;932.3;1698.2;316.6;181.8;693.3;85.5;34.8;
"   1995TII";12494.8;1815.2;410.9;324.3;267.8;489.3;161.1;784.4;501.6;2169.8;1279.9;283.7;962.6;1688.3;340.1;190.7;704.3;87.7;33.2;
"   1995TIII";12603.8;1781.2;417.7;330.2;286.9;486.5;162.3;792.7;510.2;2207.3;1285.8;292.3;986.0;1706.5;327.6;194.8;713.4;87.6;34.8;
"   1995TIV";12590.0;1790.0;411.9;333.3;275.0;487.1;160.2;797.1;502.6;2197.4;1326.9;283.5;950.1;1717.7;336.4;193.0;705.7;88.6;33.4;
"   1996TI";12615.9;1840.8;411.3;325.5;275.8;498.1;157.0;788.7;498.5;2212.6;1310.2;277.6;950.5;1717.9;327.2;196.3;702.1;89.3;36.5;
"   1996TII";12759.8;1878.1;413.2;317.4;287.3;504.1;158.9;788.9;508.1;2254.7;1321.1;287.5;938.8;1739.9;328.0;197.7;709.6;90.4;36.0;
"   1996TIII";12964.6;1892.7;417.3;331.1;299.1;504.2;161.3;800.5;529.8;2299.2;1318.2;303.7;952.0;1771.1;326.5;201.5;727.3;92.3;36.8;
"   1996TIV";12999.7;1910.2;416.7;329.1;291.6;529.5;159.7;803.8;521.7;2294.8;1354.9;289.9;932.6;1765.6;335.8;203.3;730.3;93.0;37.3;
"   1997TI";13045.0;1960.2;417.4;317.6;288.2;546.0;162.9;798.8;518.3;2281.7;1345.3;291.6;917.2;1785.7;345.5;201.2;736.3;93.6;37.4;
"   1997TII";13190.8;1929.1;422.3;318.0;296.4;544.1;169.9;802.0;525.4;2348.6;1351.3;296.4;938.8;1798.1;362.9;207.7;746.8;95.5;37.6;
"   1997TIII";13355.9;1911.8;430.4;317.4;307.7;552.8;175.2;811.4;545.6;2384.2;1384.6;305.7;956.4;1815.3;363.0;212.9;748.6;94.4;38.5;
"   1997TIV";13446.2;1954.3;430.3;321.9;296.6;567.5;173.3;808.8;542.8;2386.9;1430.1;299.0;946.8;1816.8;373.9;212.3;750.4;94.8;39.5;
"   1998TI";13540.8;2034.1;434.1;316.7;295.5;566.9;176.7;811.2;544.4;2399.6;1430.5;296.4;948.3;1810.7;376.9;210.7;753.9;94.1;40.1;
"   1998TII";13718.5;2014.8;440.1;317.5;304.7;564.5;179.6;815.4;562.1;2455.3;1443.0;304.6;957.5;1867.3;379.7;214.1;762.7;95.3;40.5;
"   1998TIII";13952.3;2035.7;443.8;335.0;317.1;577.3;180.6;844.5;573.8;2500.5;1459.2;307.9;967.1;1900.3;380.6;215.4;775.9;98.1;39.4;
"   1998TIV";14018.7;2066.1;444.0;331.1;301.8;592.1;177.5;845.4;573.6;2483.8;1501.8;307.3;973.5;1913.4;377.6;212.1;779.7;97.6;40.2;
"   1999TI";14212.7;2117.6;444.6;332.3;302.3;607.1;174.1;849.7;566.9;2516.0;1526.2;316.4;960.2;1950.6;390.4;215.7;803.8;98.4;40.6;
